127.0.0.1 - - [04/May/2023:13:35:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/May/2023:13:35:50 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [04/May/2023:13:37:20 +0900] "GET /busan_coffee/NewFile1.jsp HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [04/May/2023:13:37:26 +0900] "GET /busan_coffee/NewFile1.jsp HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [04/May/2023:13:38:36 +0900] "GET /busan_coffee/NewFile1.jsp HTTP/1.1" 200 1059574
0:0:0:0:0:0:0:1 - - [04/May/2023:14:45:11 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [04/May/2023:14:46:47 +0900] "GET /busan_coffee/NewFile1.jsp HTTP/1.1" 200 1059574
0:0:0:0:0:0:0:1 - - [04/May/2023:14:46:53 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [04/May/2023:14:47:39 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [04/May/2023:14:57:09 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [04/May/2023:14:59:40 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [04/May/2023:15:00:15 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 1056437
0:0:0:0:0:0:0:1 - - [04/May/2023:15:02:35 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 1056437
0:0:0:0:0:0:0:1 - - [04/May/2023:15:04:12 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 1056480
0:0:0:0:0:0:0:1 - - [04/May/2023:15:04:38 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 1056506
0:0:0:0:0:0:0:1 - - [04/May/2023:15:05:59 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [04/May/2023:15:06:03 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [04/May/2023:15:06:31 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [04/May/2023:15:09:42 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 500 5481
0:0:0:0:0:0:0:1 - - [04/May/2023:15:10:54 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [04/May/2023:15:10:59 +0900] "GET /busan_coffee/NewFile.jsp?searchKeyword=%26%2348512%3B%26%2349328%3B HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [04/May/2023:15:11:01 +0900] "GET /busan_coffee/NewFile.jsp?searchKeyword= HTTP/1.1" 200 839862
0:0:0:0:0:0:0:1 - - [04/May/2023:15:11:36 +0900] "GET /busan_coffee/NewFile.jsp HTTP/1.1" 200 548
